Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,4266.59,4275.24,4230.72,4259.25,4259.25,0
2018-08-21,4275.2,4317.1,4273.69,4298.36,4298.36,0
2018-08-22,4282.27,4320.2,4277.0,4316.34,4316.34,0
2018-08-23,4319.22,4352.42,4314.1,4320.47,4320.47,0
2018-08-24,4356.65,4384.83,4353.08,4383.46,4383.46,0
2018-08-27,4410.16,4434.41,4397.53,4424.0,4424.0,0
2018-08-28,4437.35,4443.0,4410.03,4435.55,4435.55,0
2018-08-29,4436.41,4456.88,4430.83,4450.89,4450.89,0
2018-08-30,4437.77,4442.89,4406.45,4413.41,4413.41,0
2018-08-31,4403.27,4427.34,4403.05,4422.3,4422.3,0
2018-09-04,4391.25,4399.25,4359.88,4396.8,4396.8,0
2018-09-05,4378.93,4381.69,4314.86,4339.44,4339.44,0
2018-09-06,4332.71,4337.54,4265.29,4280.21,4280.21,0
2018-09-07,4256.75,4302.94,4250.63,4264.2,4264.2,0
2018-09-10,4286.49,4288.87,4260.53,4281.42,4281.42,0
2018-09-11,4252.89,4285.57,4239.93,4271.7,4271.7,0
2018-09-12,4229.7,4242.92,4184.99,4241.73,4241.73,0
2018-09-13,4281.75,4314.82,4273.04,4297.47,4297.47,0
2018-09-14,4310.24,4330.78,4287.61,4307.12,4307.12,0
2018-09-17,4294.68,4300.22,4241.98,4245.6,4245.6,0
2018-09-18,4251.94,4302.75,4251.09,4278.78,4278.78,0
2018-09-19,4285.06,4295.36,4256.3,4277.58,4277.58,0
2018-09-20,4305.59,4344.88,4303.8,4332.81,4332.81,0
2018-09-21,4336.8,4348.64,4311.22,4317.87,4317.87,0
2018-09-24,4297.88,4332.66,4284.53,4329.01,4329.01,0
2018-09-25,4326.78,4327.01,4294.89,4305.15,4305.15,0
2018-09-26,4297.53,4330.99,4281.89,4285.89,4285.89,0
2018-09-27,4298.15,4321.96,4295.16,4304.49,4304.49,0
2018-09-28,4295.51,4332.68,4288.5,4325.69,4325.69,0
2018-10-01,4342.45,4360.2,4316.22,4324.84,4324.84,0
2018-10-02,4313.32,4352.19,4305.59,4310.8,4310.8,0
2018-10-03,4332.76,4349.59,4313.98,4328.77,4328.77,0
2018-10-04,4302.09,4304.69,4207.28,4241.73,4241.73,0
2018-10-05,4239.13,4255.02,4144.1,4179.74,4179.74,0
2018-10-08,4153.92,4173.98,4086.94,4127.25,4127.25,0
2018-10-09,4123.87,4135.89,4096.28,4111.47,4111.47,0
2018-10-10,4064.16,4071.12,3950.98,3951.39,3951.39,0
2018-10-11,3953.5,4020.42,3890.18,3919.65,3919.65,0
2018-10-12,4017.47,4026.52,3939.66,4005.31,4005.31,0
2018-10-15,3980.69,4003.05,3951.75,3963.09,3963.09,0
2018-10-16,4012.98,4092.55,4009.62,4085.1,4085.1,0
2018-10-17,4108.95,4112.3,4049.26,4082.26,4082.26,0
2018-10-18,4058.99,4059.41,3971.72,3988.74,3988.74,0
2018-10-19,4017.58,4043.53,3951.25,3960.75,3960.75,0
2018-10-22,3988.5,4004.4,3951.78,3983.08,3983.08,0
2018-10-23,3898.11,4005.21,3873.59,3986.3,3986.3,0
2018-10-24,3945.89,3955.47,3769.99,3772.89,3772.89,0
2018-10-25,3832.96,3919.15,3831.16,3893.43,3893.43,0
2018-10-26,3751.21,3857.38,3727.7,3792.57,3792.57,0
2018-10-29,3867.65,3869.91,3673.2,3739.99,3739.99,0
2018-10-30,3741.33,3818.07,3733.47,3815.67,3815.67,0
2018-10-31,3875.11,3925.7,3863.84,3899.09,3899.09,0
2018-11-01,3906.66,4015.09,3890.96,4011.99,4011.99,0
2018-11-02,4019.05,4030.98,3935.17,3970.93,3970.93,0
2018-11-05,3966.1,3971.71,3907.39,3956.67,3956.67,0
2018-11-06,3957.53,4011.6,3957.27,4009.6,4009.6,0
2018-11-07,4053.67,4090.0,4032.34,4085.77,4085.77,0
2018-11-08,4060.72,4098.23,4055.58,4075.12,4075.12,0
2018-11-09,4025.57,4031.49,3952.38,3992.14,3992.14,0
2018-11-12,3944.58,3945.31,3843.71,3852.9,3852.9,0
2018-11-13,3882.87,3945.69,3868.63,3882.84,3882.84,0
2018-11-14,3927.44,3948.57,3852.15,3876.93,3876.93,0
2018-11-15,3871.37,4005.97,3871.01,3993.69,3993.69,0
2018-11-16,3923.94,3997.04,3920.0,3977.27,3977.27,0
2018-11-19,3956.79,3966.85,3819.93,3826.7,3826.7,0
2018-11-20,3739.57,3846.82,3733.52,3798.91,3798.91,0
2018-11-21,3856.66,3881.14,3823.33,3848.46,3848.46,0
2018-11-23,3808.53,3859.38,3807.48,3834.44,3834.44,0
